Teks;Label
Beredar Uang Mutilasi Sebesar 600 Miliar;BELUM TERBUKTI
Tautan Pendaftaran Lowongan Kerja Badan Pusat Statistik;PENIPUAN
Video Warga Tarik Uang Akibat Diblokir PPATK;SALAH
Kapal Terhempas Ombak Saat Gempa di Rusia;SALAH
Mobil berisi 30 ton Ginjal Manusia;SALAH
Tautan Pendaftaran CPNS Dinas Perhubungan Periode 7 Juli-27 Agustus 2025;PENIPUAN
Tautan Pendaftaran Token Listrik Gratis Periode 7 Juli-27 Agustus 2025;PENIPUAN
Australia Keluar dari WHO;SALAH
Video â€œIndonesia dan AS Rasakan Getaran Gempa dan Tsunami Rusiaâ€;SALAH
Video â€œPaus Beluga Terdampar Usai Tsunami Rusiaâ€;SALAH
Video â€œTsunami Rusia 30 Juli 2025, Ombak Besar Hantam Gedungâ€;SALAH
Dokumentasi â€œTsunami Hantam Jepang Usai Gempa di Rusiaâ€;SALAH
Aksi Protes Warga AS Menolak Serangan ke Iran;SALAH
Tom Lembong dan Hasto Bebas karena Perintah Jokowi;SALAH
Dokumentasi â€œPesawat Israel Tiba di Jakartaâ€;SALAH
Iran Bikin Sayembara Berhadiah untuk Bunuh Trump dan Netanyahu;SALAH
Video â€œQatar Meledak Akibat Drone Iranâ€;SALAH
Korea Utara Hukum Mati Pendukung Zionis, Nyatakan Israel Negara Ilegal;SALAH
Video â€œRudal Iran Meluncur dari Bawah Tanah untuk Serang Israelâ€;SALAH
FIFA Sanksi Vietnam Usai Laga Final Piala AFF U-23 2025;SALAH
Kejaksaan dan Polisi Bakal Panggil Peserta Reuni UGM Angkatan Jokowi;SALAH
BIN Umumkan Kondisi Darurat Militer Indonesia;SALAH
Bos Perusahaan Otobus (PO) Haryanto Bagi-Bagi Uang;PENIPUAN
Ahok Seret Nama Jokowi dalam Kasus Korupsi Pertamina;SALAH
Foto Pesawat MiG-21 Kamboja Jatuh setelah Lawan Pesawat Thailand;SALAH
Indonesia Tunjukkan Senjata Nuklirnya;SALAH
Perpanjang SIM Harus Melalui Tes Ulang;SALAH
Prabowo Segera Usir Habib Baâ€™alawi;SALAH
Ada Razia Berujung Kuras Bensin Usai Kasus Pertamax Oplosan;SALAH
Video Gempa M 6,2 Guncang Istanbul 04/23/2025;SALAH
Pandemic Treaty: Ada Denda untuk Masyarakat Penolak Vaksin;SALAH
Gambar â€œDesain Pondasi Kota Venesia Italiaâ€;SALAH
Naik KRL Tidak Bisa Pakai e-Money Bank Mandiri;SALAH
Gaji PNS dan Pensiunan Resmi Naik 16 Persen Tahun 2025;SALAH
Tautan Pendaftaran Undian untuk Pengguna Livin by Mandiri;PENIPUAN
Konser Sheila on 7 di Mako Ambon;SALAH
Video â€œJet Tempur Rusia Tiba di Biak, Papuaâ€;SALAH
Video â€œPenemuan Putri Duyung di Pantai Selatan Jawaâ€;SALAH
Tautan Lowongan Kerja Tenaga Swakelola Bank Indonesia;PENIPUAN
Tautan Lowongan Kerja Petugas PTSP Kejaksaan Negeri;PENIPUAN
Pesan WhatsApp Pendaftaran Petugas PPSU Langsung di Balai Kota;SALAH
Prosesi Pemindahan Jenazah Paus Fransiskus;SALAH
AFC Diskualifikasi Korea Utara dari Piala Asia U-17 2025;SALAH
Pendemo dan Penuduh Ijazah Palsu Jokowi Ditangkap;SALAH
Tautan Rekrutmen Pegawai Koperasi Desa Merah Putih;PENIPUAN
Tautan Pendaftaran CPNS Kementerian Pariwisata 2025;PENIPUAN
Tangis Haru Dapat Baju Oranye karena Kasus Ijazah Palsu;SALAH
Tautan Lowongan Kementerian Koperasi dan UKM;PENIPUAN
Penemuan Makam Nabi di Tembok Besar China;BELUM TERBUKTI
Ajakan Gerakan 1821 dari Anies Baswedan;SALAH
Pemerintah Tutup Kasus Ladang Ganja di Bromo karena Tumbuh dari Kotoran Burung;SALAH
Pelembab Wajah dengan Deterjen Cair;SALAH
Barang Bukti Narkoba Diduga Masuk Melalui PIK 2 Operasi Dalam 21 Hari;SALAH
Tautan Pendaftaran Program â€œBantuan Alat dan Mesin Pertanianâ€;PENIPUAN
Raymond Chin Promosikan â€œGrup Analisis Saham Eksklusifâ€;PENIPUAN
Video â€œMusibah Tenggelamnya Kapal Laut Pengangkut Mobilâ€;SALAH
AFC Melarang Indonesia Menaturalisasi Warga Negara Belanda;SALAH
Video â€œPresiden Prabowo Ancam Media untuk Berhati-hatiâ€;SALAH
Video â€œMahasiswa Menyerang Anggota Polres Bogorâ€;SALAH
Video â€œPenyiksaan Terhadap WNI di Kambojaâ€;SALAH
Prabowo Batalkan Program MBG, Diubah Jadi Pendidikan Gratis Seumur Hidup;SALAH
Menag Sebut Uang Zakat dan Infak Bakal Dipakai untuk Masjid di IKN;SALAH
Fenomena 7 Matahari Kembar di Bukit Hermon Menghadap ke Gaza;SALAH
Kejagung Sita Aset Kaesang, Buntut Kasus Tom Lembong;SALAH
Video â€œPenjagaan Polisi saat Warga Geruduk UGM Minta Usut Ijazah Jokowiâ€;SALAH
Penemuan Kerangka Manusia di Pantai Batu Rakit;SALAH
Gelombang Tinggi Pantai Pasir Putih Kangean Sumenep Hingga 10 Meter;SALAH
Menteri Bahlil: Kas Negara Kosong, Masyarakat Diminta Menyumbang;SALAH
Maskapai Air Canada Sengaja Hapus Israel di Peta In-Flight;SALAH
Pejabat Korupsi di China Dihukum Mati saat Rapat;SALAH
Prabowo Bakal Hapus Jabatan Kepala Desa;SALAH
Tautan Lowongan Kerja Alfamart;PENIPUAN
Video â€œDetik-Detik Hiu Serang Kapal Nelayanâ€;SALAH
Tautan â€œNew Gebyar Program Bank BCA Tahun 2025â€;PENIPUAN
Video â€œAda Bangkai Kereta di Tebing, Akibat Jembatan Runtuhâ€;SALAH
Jokowi Pakai Rp38,5 Triliun Dana Haji, Rakyat Tak Diberi Tahu;SALAH
Pencairan Dana Bansos Kemenkeu;PENIPUAN
Tautan â€œBantuan Subsidi Upahâ€;PENIPUAN
Imbauan Wamenaker untuk Membantu Menyumbang Pemerintah karena Kas Negara Kosong;SALAH
Pesan Berantai â€œPerempuan Amerika Serikat Semua Tanpa Baju Protes Rencana Pemerintah AS Stop Impor Baju dari Chinaâ€;SALAH
Artikel Presiden Prabowo Marah ke Rakyat yang Bikin Pusing Pemerintah;SALAH
Video â€œPenampakan Asli Belalang Sembah Bunga Terataiâ€;SALAH
Video â€œKapal Usang Menempel di Tepi Tebingâ€;SALAH
Video â€œRestoran Penyaji Daging Manusia di Nigeriaâ€;SALAH
Abu Janda Jadi Komisaris Jasamarga Tollroad Operator;SALAH
Tarian Pemanggil THR Merupakan Tari Hora Tradisi Yahudi;SALAH
Video â€œPembuatan Beras dari Plastikâ€;SALAH
Kapal India Terdampar di Perairan Nias Barat;SALAH
Narasi â€œKerusuhan Mei 1998 Tidak Spesifik Menyerang Etnis Tionghoaâ€;SALAH
Tautan â€œVoucer Alfamart Gratisâ€;PENIPUAN
Peluncuran Program BLT untuk UMKM Sebesar Rp5 Juta;PENIPUAN
Artikel Dedi Mulyadi Mengatakan Tuhan Tidak Ada dan Lebih Percaya Nyi Roro Kidul;SALAH
Tempo Menghapus Berita Jokowi;SALAH
Bank DKI Kebobolan 200 Miliar, Imbau Nasabah untuk Tarik Seluruh Saldo di ATM KJP;SALAH
Kuda Unicorn Hebohkan Warga di Kabupaten Lahat;SALAH
Video Demo Penolakan RUU TNI di Surabaya;SALAH
Erick Thohir Meminta Seluruh Rakyat Menyumbang Emas untuk Memajukan Ekonomi Indonesia;SALAH
Daihatsu Tutup Operasional di Indonesia, Dialihkan ke Toyota;PARODI
Video â€œRumah Ridwan Kamil Digeruduk Warga saat KPK Sita Barang Hasil Korupsiâ€;SALAH
Tautan Pendaftaran â€œFestival Berhadiah BCA Mobileâ€;PENIPUAN
Video â€œDokumentasi Gempa Myanmar di Area Pantaiâ€;SALAH
Anak Kecil Diserahkan ke Orang Dewasa untuk Dikawini;SALAH
Video â€œDetik-Detik Erupsi Gunung Gedeâ€;SALAH
Pernyataan Haris Azhar untuk Blokir Program Bocor Alus Tempo;SALAH
Tautan â€œPendaftaran Lowongan Kerja Program BIBIT BSI 2025â€;PENIPUAN
Masuk PIK Harus Pakai Paspor dan Bendera Merah Putih Dilarang;SALAH
Kebakaran Kehancuran Situs Nuklir Iran;SALAH
Dana Bantuan dari BPJS;PENIPUAN
Flurona Itu Virus Buatan Tiga Perusahaan Vaksin di China;SALAH
Lumpur Lapindo Berhenti Menyembur;SALAH
Budi Arie Akan Kembalikan Dana Haji yang Dipakai IKN Dalam Bentuk THR;SALAH
Demo di Turki Buntut dari Ditahannya Wali Kota Istanbul;SALAH
Prabowo Teken SK Pemecatan 55 Pejabat Kepala Daerah;SALAH
Video Ricuh Sidang DPR Mendesak RUU Perampasan Aset;SALAH
Patung Penyu 16,5 Miliar di Sukabumi Berbahan Kardus;SALAH
Akun TikTok Beserta Tautan Pemutihan Pajak;PENIPUAN
Kendaraan Dengan STNK Telat Pajak 2 Tahun Akan Langsung Disita;SALAH
Kemenkes Wajibkan Penumpang Pesawat Tervaksinasi TBC;SALAH
Tautan â€œPendaftaran Beasiswa Guru Fullbright DAIâ€;PENIPUAN
Tautan â€œRekrutmen Pemadam Kebakaranâ€;PENIPUAN
Ada Racun Disebarkan dengan Chemtrail, Sebabkan TBC;SALAH
Golkar Dukung Pemakzulan Gibran;SALAH
Tautan Klaim â€œBansos Go Digital Kemensosâ€;PENIPUAN
Tautan â€œPendaftaran untuk Menjadi Driver Grabâ€;PENIPUAN
SPBU di Manado Jual Pertalite Dicampur Air;SALAH
Proses Pembuatan Patung Paus Fransiskus dari Emas;SALAH
Tautan Lowongan Kerja KAI Services;PENIPUAN
Anak di India Lumpuh Akibat Vaksin Polio Bill Gates;SALAH
Virus Baru Disebarkan ke Anak Sekolah Melalui Pembagian Obat Cacing;SALAH
Vaksin Itu Produk Rekayasa yang Membahayakan Generasi Mendatang;SALAH
Tautan Lowongan Kerja PT Hwa Seung Indonesia (HWI);PENIPUAN
Ada Bantuan Tunai dari Kerajaan Brunei;PENIPUAN
Pesan Berantai â€œBuah Daun Kelor dan Soda untuk Obat Sakit Sendiâ€;SALAH
Ada Aplikasi Bluetooth Pendeteksi Penerima Vaksin Covid-19;PENIPUAN
Gubernur Jabar Dedi Mulyadi Resmikan Layanan Pinjol;SALAH
Manuver Pesawat India sebelum Jatuh Tertembak oleh Pakistan;SALAH
Ustaz Abdul Somad Bagi-Bagi Uang untuk TKI;PENIPUAN
Ada Bansos untuk Peserta Uji Coba Vaksin TBC Bill Gates;SALAH
Dokumentasi â€œPenggerebekan Lokasi Penyekapan WNI di Thailandâ€;SALAH
Ikan Lele Penyebab Gagal Ginjal;SALAH
Tautan Rekrutmen JNE Express;PENIPUAN
TNI Membunuh 1.200 Tentara Israel;SALAH
Gibran Bagi-Bagi Uang untuk Bayar Utang hingga Modal Usaha;PENIPUAN
Vaksin mRNA, TBC, dan Malaria Disebarkan Lewat Udara;SALAH
Juru Bicara OPM Menyatakan Menyerah;SALAH
Ada Bantuan Tunai untuk TKI dari BPJS Kesehatan;PENIPUAN
Dokumentasi â€œPawai People Powerâ€;SALAH
Dedi Mulyadi: Hanya Kaum Radikal yang Meragukan Ijazah Pak Jokowi;SALAH
Dokumentasi â€œTKW Ditemukan Hidup dalam Peti Es di Vietnamâ€;SALAH
Makanan MBG di Indonesia Terkontaminasi Bangkai Ular;SALAH
AS Larang Warga ke RI karena Ada Uji Coba Vaksin TBC Bill Gates;SALAH
Petugas Bea Cukai Vietnam Menemukan TKW Indonesia di Dalam Peti Es Besar dari Kamboja;SALAH
Raffi Ahmad Bagi-Bagi Uang untuk Warga Timor Leste;PENIPUAN
YouTuber Aisar Khaled Bagi-Bagi Uang;PENIPUAN
Penerapan Sistem Jalan Berbayar (ERP) di 25 Ruas Jalan Jakarta;SALAH
Video â€œBantuan China untuk Gaza Tembus Blokade Israel di 2025â€;SALAH
Video â€œTNI Gandakan Serangan ke Pusat Kota Israelâ€;SALAH
37 Ribu Warga Israel Mengungsi karena Kebakaran;SALAH
Video â€œPembangunan Patung Paus Fransiskus Berukuran Raksasaâ€;SALAH
Video â€œPasukan Garuda Indonesia Tiba di Palestinaâ€;SALAH
Tautan Lowongan Kerja Cleo Pure Water;PENIPUAN
Tautan Lowongan Kerja Tenaga Staf Universitas Pertamina;PENIPUAN
Tautan Pendaftaran Program Rumah Gratis dari Pemerintah;PENIPUAN
Tautan â€œPendaftaran Peserta JKN Gratis Seumur Hidupâ€;PENIPUAN
Video â€œIbadah Sambil Jogetâ€;SALAH
Video â€œTruk Nekat Terobos dan Tabrak Tarub Resepsiâ€;SALAH
Video Prabowo dan Megawati di Sidang Paripurna Pemakzulan Gibran;SALAH
Israel Pakai Bom Buatan Turkiye untuk Menyerang Gaza;SALAH
Tautan Lowongan Kerja PT Pupuk Indonesia;PENIPUAN
Ekstrak Cabai dan Buah Nanas Bisa Hancurkan Parasit;BELUM TERBUKTI
Program â€œTunjangan Kesehatan dari Kemensos dan Kemenkesâ€;PENIPUAN
Roy Suryo Ditangkap karena Sebut Ijazah Jokowi Palsu;SALAH
Tautan Pendaftaran Beasiswa Pertamina;PENIPUAN
Puluhan Warga Bersholawat di Gunung Lapindo;SALAH
Salah Satu Misil Pakistan Menyerang Balik India;SALAH
Ahli Waris Bisa Disanksi kalau Orang Meninggal Tidak Lapor Pajak;SALAH
Video â€œPerdana Menteri Israel Ancam Presiden Prabowoâ€;SALAH
Tautan â€œPendaftaran BLT untuk Anak Sekolahâ€;PENIPUAN
Tautan â€œPendaftaran Guru Sekolah Rakyatâ€;PENIPUAN
Tautan â€œPendaftaran Bantuan Benih untuk Budidaya Ikanâ€;PENIPUAN
Dokumentasi â€œKoalisi Militer Indonesia-Rusia di Gazaâ€;SALAH
Tautan â€œLowongan Kerja Indonesia Morowali Industrial Park (IMIP)â€;PENIPUAN
41 Pasukan Khusus TNI Gugur Saat Melakukan Misi Kemanusiaan di Gaza;SALAH
Tautan â€œPendaftaran Pemutihan Pinjaman Onlineâ€;PENIPUAN
Tautan Lowongan Kerja Nissin Foods Indonesia;PENIPUAN
KPK Periksa Bobby dan Kaesang Terkait Kasus â€˜Blok Medanâ€™;SALAH
Video â€œJokowi Menunjukkan Ijazah Asli Miliknyaâ€;SALAH
Tautan Penukaran Uang Kuno;PENIPUAN
Kebakaran Gedung Royal Yak di Israel;SALAH
Jokowi Kaget Kehilangan Ijazah Aslinya Padahal akan Ditunjukkan ke Publik;SALAH
Video â€œTentara Rusia Datang Membantu Indonesia Serang Malaysiaâ€;SALAH
Bantuan dari Pemerintah untuk TKI;PENIPUAN
Tautan Pendaftaran CPNS KPK;PENIPUAN
Video WNI di Kamboja Lompat dari Lantai 13;SALAH
IDI Rilis 19 Minuman Mengandung Aspartame Penyebab Pengerasan Otak;SALAH
Sayembara Rp16 M dari Megawati untuk Buktikan Ijazah Jokowi Palsu;SALAH
Semua Uang Impor Gula Masuk ke Rekening Kaesang atas Perintah Jokowi;SALAH
Jalan Napal Belah di Bukit Kemuning, Lampung Utara Putus;SALAH
Penampakan Gelombang Tinggi di Pantai Akibat Gempa Myanmar-Thailand;SALAH
Hary Tanoe Bertemu Shimon Peres pada 2025;SALAH
Video Ribuan Tumpukan Motor Sitaan Akibat Tidak Bisa Nebus;SALAH
Gedung DPRD Pesawaran, Lampung Gosong Terbakar;SALAH
Anggota DPR Temui Mahasiswa saat Demo Agustus 2025;SALAH
Prabowo Bekukan Sementara MPR/DPR;SALAH
Kondisi Ahmad Sahroni, Uya Kuya, dan Eko Patrio Setelah Rumah Mereka Dijarah;SALAH
Penemuan Alat Bantu Seks di Kediaman Ahmad Sahroni;SALAH
ART Ahmad Sahroni Luka Parah Akibat Massa Menyerang Kediaman Ahmad Sahroni;SALAH
10 Brimob Tewas Dalam Pengamanan Demo;SALAH
Video Aceh Butuh Bendera Kemerdekaan Bintang Bulan, Tidak Butuh Bendera RI Penjajah Rakyat;SALAH
Tanggal 1 Desember JaringanÂ  InternetÂ  Indonesia Akan Diputus;SALAH
Anggota PSIÂ  adalah Ojol Palsu yang bertemu Wapres Gibran;SALAH
Ahmad Sahroni Jatuh Pingsan Rumahnya Dijarah;SALAH
PBB Gelar Sidang Darurat, Resmi Bubarkan DPR Indonesia;SALAH
Foto Antrean WNA Terjebak di Bandara Soekarno-Hatta;SALAH
KPID DKI Jakarta Imbau Lembaga Penyiaran Tidak Menayangkan Siaran Demonstrasi yang Bermuatan Kekerasan Secara Berlebihan;SALAH
Sri Mulyani Mundur dari Jabatan Menteri Keuangan;SALAH
Tom Lembong Ungkap Jokowi Telah Lama Meninggal;SALAH
Wonosobo Gempar: Warung Jual Soto, Ternyata Masak Mayat Mahasiswi;SALAH
Getah Daun Jarak Bisa Obati Sakit Gigi;BELUM TERBUKTI
Bagi-bagi Uang Hasil Bongkar Brankas Milik Sahroni;SALAH
Video â€œPrabowo Temui Mahasiswa saat Demo Agustus 2025â€;SALAH
Video Gerakan Demo Bubarkan DPR RI 25 Agustus 2025;SALAH
Perdana Menteri Malaysia Anwar Ibrahim Selalu Menantang Indonesia Berperang di Laut Ambalat;SALAH
Akun X @SahroniNasdem (Sahroni Berdikari);SALAH
Korban Rudapaksa saat Demo Dilarikan ke RS UKI;SALAH
Kompol Jemmy Adalah Polisi yang Melindas Affan Kurniawan;SALAH
Rayyan â€˜Pacu Jalurâ€™ Meninggal Dunia pada 28 Agustus 2025;SALAH
Polisi Penabrak Ojol Gojek Meninggal Dunia saat Demo 28 Agustus 2025;SALAH
Tautan Rekrutmen Petronas Indonesia;PENIPUAN
Tautan Rekrutmen Tenaga Kesehatan Nusantara Sehat;PENIPUAN
Tautan â€œPendaftaran Koperasi Pinjaman, Tanpa Bungaâ€;PENIPUAN
Mayoritas Pasien Kanker Paru-paru Wanita Disebabkan Asap Dapur;SALAH
Tautan â€œPendaftaran BSU Karyawan dan Guru Honorerâ€;PENIPUAN
Air Rebusan Sawo Mengkal Obati Vertigo;BELUM TERBUKTI
Kim Jong Un Nyatakan Siap Perang Bantu Iran;SALAH
Tautan Pendaftaran Loker Bidang Pertanian di Australia;PENIPUAN
Pengadilan Internasional Perintahkan Tangkap Jokowi karena Melanggar HAM;SALAH
Mike Tyson Salat Ashar di Sebuah Cafe Los Angeles, USA;SALAH
Militer China dan Pakistan Resmi Kirim Rudal ke Iran;SALAH
Mendagri Sebut 100 Pulau Akan Dijual;SALAH
Petani Thailand Ubah Sawah Jadi Lukisan KTP WNI Raksasa;SALAH
Tel Aviv Terbakar Akibat Serangan Rudal;SALAH
Agen Mossad yang Tertangkap Akan Diikat di Rudal Kembali ke Israel;SALAH
Kecelakaan di Tol Jogja-Solo, Evakuasi dengan Helikopter;SALAH
Prabowo Umumkan Hukuman Mati bagi Koruptor di DPR;SALAH
Tautan Pendaftaran PPG Prajabatan;PENIPUAN
Tautan Lowongan Kerja Direktorat Jenderal Bea Cukai;PENIPUAN
Bank Indonesia Rilis Uang Baru Edisi HUT ke-80 RI;SALAH
Andika Perkasa Jadi Direktur Utama PLN;SALAH
SALAH] Warga Jakarta Berbondong-bondong Pindah ke Jawa Barat karena Tidak Puas dengan Kepemimpinan Pramono.;
Ada Titik Pijat untuk Melancarkan Haid;SALAH
Megawati Bubarkan PDIP Jika Terbukti Terima Suap dari Judi Online;SALAH
Serangan Balasan Iran ke Israel seperti Karya Seni;SALAH
Foto â€œNajwa Shihab Diamankan Pihak Berwajibâ€;SALAH
Video Prabowo dan SBY Turun Tangan Selesaikan Polemik Empat Pulau;SALAH
PM Israel Netanyahu Melarikan Diri ke Yunani;SALAH
Prabowo Tiba di Singapura Perintahkan Tangkap Jokowi soal Ijazah Palsu;SALAH
Indonesia akan Turun Salju pada 2026;SALAH
Virus yang Tertiup Angin Jadi Penyebab Bellâ€™s Palsy;SALAH
Prabowo Dukung Rismon Sianipar Usut Dugaan Ijazah Palsu Jokowi;SALAH
Koalisi Masyarakat Sipil Tuntut Adili Jokowi dan Makzulkan Gibran;SALAH
Bandara Israel Ben Gurion Hancur Akibat Rudal Hipersonik Yaman;SALAH
Rekaman Suara â€œSBY Marah kepada Kapolriâ€;SALAH
Arab Saudi Tahun 2026 Bakal Jual Bebaskan Alkohol;SALAH
Seorang Warga Israel Terberak-berak karena Sirine Peringatan Serangan Iran;SALAH
Laut Raja Ampat Sudah Rusak dan Banyak Ikan Mati;SALAH
Suasana Car Free Night di Jakarta;SALAH
Tautan â€œPendaftaran Lowongan Pekerjaan BNPBâ€;PENIPUAN
TikTok Bakal Tutup Juni 2025;SALAH
Simbol Tiga Garis di Grup WhatsApp Itu Tanda Kehadiran Hacker;SALAH
Tautan Pendaftaran Lowongan Kerja Kalbe Farma;PENIPUAN
Ledakan Pembangkit Listrik Haifa di Israel Akibat Serangan Rudal Balistik Iran;SALAH
Donald Trump akan Hapus Indonesia dan Rusia dari Peta;SALAH
Video Konvoi Tuntut Aceh Merdeka;SALAH
Mobil Patroli Polsek Kelapa Gading Pakai Lamborghini;SALAH
Tautan Pengajuan Kartu Fisik GoPay;PENIPUAN
Papua Nugini Bakal Gabung ke Indonesia;SALAH
Judul Artikel Detik â€œPolri Bukan Lagi Aparat Negara Tapi Bodyguard Jokowi, karena Itu Kami Akan Bawa Kasus Ini ke Tingkat Internasionalâ€;SALAH
Dedi Mulyadi Laporkan Ridwan Kamil ke KPK karena Anggaran Hilang dan Utang BPJS Rp300 Miliar;SALAH
Toni Tamsil Pelaku Utama Korupsi Rp300 Triliun Divonis 3 Tahun Penjara dan Denda Rp5.000;SALAH
Prabowo Diam-Diam Setuju tentang Pemakzulan Gibran;SALAH
Helikopter Jatuh di Kebun Kopi Palu;SALAH
Garis Hitam di Bawah Lidah Tanda Penyakit Serius;SALAH
Penggeledahan Apartemen Mantan Menteri Pendidikan Nadiem Makarim;SALAH
Ketua Umum Partai Demokrat Pasang Badan Bela Wakil Presiden Gibran;SALAH
Rekaman CCTV Pesawat Air India Jatuh;SALAH
Ratusan Rudal Hypersonic Melintasi Langit Israel;SALAH
Detik-Detik Rekaman Pesawat Air India Jatuh;SALAH
Mahasiswa UGM akan Berangkat ke Jakarta Minta Roy Suryo Ditangkap;SALAH
Wakil Presiden Terlibat Judi Online;SALAH
Video â€œJokowi Menandatangani Izin Tambang Nikel Raja Ampat dan Jalan Trans Papua untuk Tambangâ€;SALAH
Foto â€œPembangunan Patung Dedi Mulyadiâ€;SALAH
Tautan Pendaftaran Rekrutmen SKK Migas;PENIPUAN
Hasto Divonis 7 Tahun Penjara;SALAH
Makam Nabi Sulaiman Ditemukan di Candi Borobudur;SALAH
Potret â€œDesain iPhone Terbaruâ€;SATIR
Nadiem Makarim Jadi DPO Kasus Korupsi Rp9,9 Triliun;SALAH
Duta Besar Jepang: Ijazah Rismon Sianipar Palsu, Bukan Lulusan Yamaguchi;SALAH
Tautan â€œLowongan Kerja di Kantor Imigrasiâ€;PENIPUAN
Dedi Mulyadi Wajibkan Rumah di Jabar Dibangun Pakai Bambu;SALAH
Eskavator Dibakar di Tambang Raja Ampat;SALAH
Massa Geruduk Istana Tagih 19 Juta Lapangan Kerja;SALAH
Video â€œMotor Meleleh karena Sinar Matahariâ€;SALAH
Dedi Mulyadi Dirawat di Rumah Sakit pada Juni 2025;SALAH
Mahasiswi ITB Ditangkap Usai Sunting Foto Prabowo dan Jokowi;SALAH
Tautan â€œPendaftaran Beasiswa LPDP Dokter Spesialis dan Subspesialisâ€;PENIPUAN
Video â€œPenemuan Candi Wisnu di Bawah Laut Dekat Baliâ€;SALAH
DPR Sarankan Penonaktifan Kapolri, Buntut Kasus Ijazah Palsu Jokowi;SALAH
Pemandangan Tambang Nikel Raja Ampat dari Udara;SALAH
700 Kepala Desa Ditangkap KPK;SALAH
Pesan Berantai Proses Pembuatan Beras dari Botol Bekas;SALAH
Penegasan Nadiem Makarim Berbagi Uang Pengadaan Laptop dengan Jokowi;SALAH
Sertifikat Halal Produk McDonaldâ€™s Dicabut di Indonesia;SALAH
Tautan Pendaftaran â€œRekrutmen Program Literasi Nasionalâ€;PENIPUAN
Video â€œCandi Borobudur Bakal Dipasang Eskalator Agar Prabowo Bisa Naik ke Atasâ€;SALAH
Tautan Pendaftaran â€œBantuan untuk Guru Honorerâ€;PENIPUAN
Oey Hong Liong Adalah Nama Kecil Jokowi;SALAH
Video â€œDonald Trump Mengejek Pakistanâ€;SALAH
Mahkamah Internasional Tetapkan Israel sebagai Negara Ilegal;SALAH
Tautan â€œPendaftaran Giveaway PLNâ€;PENIPUAN
Tautan Rekrutmen Relawan Baznaz untuk Iduladha;PENIPUAN
Kuasa Hukum Jokowi Terbata-bata Menjawab Pertanyaan Hakim;SALAH
Jalanan Macet Total karena Rombongan Prabowo Mau Lewat;SALAH
Tiongkok Menerobos Blokade Israel Drop Bantuan bagi Gaza;SALAH
Video â€œTentara India Kibarkan Bendera Putih ke Pakistanâ€;SALAH
Prabowo Resmi Copot Gibran;SALAH
Tautan Pendaftaran Lowongan Kerja Mandiri Taspen;PENIPUAN
Video â€œDedi Mulyadi Mau Bagi-Bagi Uang Tunaiâ€;PENIPUAN
Tautan Pendaftaran Rekrutmen PT Kilang Pertamina Balikpapan;PENIPUAN
