Teks;Label
Tentara Arab Saudi Sudah Tiba di Gaza;SALAH
100 Ton Narkotika Masuk Provinsi Maluku;SALAH
Dedi Mulyadi Beri Bantuan Motor;PENIPUAN
Gubernur Maluku Utara Sherly Tjoanda Bagi-Bagi Uang;PENIPUAN
Pemprov Jabar Sudah Lunasi Utang Rp300 M ke BPJS Kesehatan;SALAH
Tautan Pendaftaran Loker BUMA International Group;PENIPUAN
Amplop Kondangan Bakal Kena Pajak;SALAH
Demo Tuntut Penangkapan Jokowi dan Makzulkan Gibran;SALAH
Tautan Pendaftaran Prakerja 2025;PENIPUAN
Willie Salim & Raffi Ahmad Promosi Judi Online dan Bagi-Bagi Uang 1 Milyar;PENIPUAN
Kejadian Luar Biasa Difteri di Jakarta;SALAH
Tautan Pendaftaran Bantuan Traktor dan Pompa Air;PENIPUAN
Foto â€œPenemuan Candi Megah di Gondang, Mojokertoâ€;SALAH
Video â€œKamboja Tembak Jatuh Pesawat Tempur F16 Milik Thailandâ€;SALAH
Putin Tunjuk Prabowo Jadi Ketua NDB BRICS;SALAH
Surat Panggilan Calon Karyawan Pertamina melalui WhatsApp;PENIPUAN
Tautan Pendaftaran Rekrutmen Bank Muamalat;PENIPUAN
Video â€œPerang Dunia ke-3 Diumumkan, Indonesia Terapkan Wajib Militerâ€;SALAH
Video â€œTentara Amerika Sudah Masuk Hutan Acehâ€;SALAH
Trump Ancam Hapus New York dari Peta kalau Mamdani Jadi Wali Kota;SALAH
Video Kepulan Asap Hitam â€œSerangan Iran ke Israelâ€;SALAH
Setengah Wilayah Israel Hangus karena Serangan Bom Iran;SALAH
Erick Thohir Minta Polisi Hentikan Kasus Dugaan Ijazah Palsu Jokowi;SALAH
Video â€œPerang Thailand-Kamboja, Ada Ledakan Bom dan Hujan Tembakanâ€;SALAH
Pembentukan Badan Pengawas Judi Slot Indonesia;SALAH
Tautan Program Pemulihan Korban Penipuan Online;PENIPUAN
Samsat Kejar Penunggak Pajak ke Rumah;SALAH
Polisi Temukan 30 Ton Ginjal TKI di Mobil Box Sayur;SALAH
Tom Lembong Bebas Tanpa Syarat Usai Seret Jokowi;SALAH
Agustus 2025 Bakal Ada Gerhana Matahari Total;SALAH
Prabowo Hentikan Program Bansos;SALAH
Video â€œPenangkapan Benjamin Netanyahuâ€;SALAH
Tautan Pendaftaran CPNS Kemenkumham;PENIPUAN
Video â€œTrump Lengser dari Kursi Presiden AS, Digantikan Obamaâ€;SALAH
Anggota TNI Kehilangan Tangan dan Kaki Usai Selamatkan Anak di Palestina;SALAH
Rekrutmen Tenaga Ahli DPR RI Fraksi Partai Demokrat;PENIPUAN
Dana Pensiun Hanya Bisa Diambil Melalui Kantor Pos;SALAH
TNI Perdamaian Tantang Israel untuk Perang Besar;SALAH
Biaya Denda Tilang Terbaru;SALAH
Pemerintah Akan Batasi Telepon-Video pada WhatsApp;SALAH
Presiden Prabowo Jadi Ketua BRICS;SALAH
Wamen Giring Minta Anies Tidak Terjun Lagi ke Politik;SALAH
18 Ribu Personel TNI Lengkap dengan Alat Perang Datang untuk Amankan Aceh;SALAH
Narasi â€œCara Daftar Transmigrasi ke IKNâ€;SALAH
Mulai Juni 2025, Peserta BPJS PBI Dinonaktifkan oleh Pusat;SALAH
Jokowi Punya Rekening di 20 Bank Asing;SALAH
Jokowi Mengancam Para Ulama;SALAH
Video â€œSri Mulyani Permalukan DPR saat Membahas Uang Negaraâ€;SALAH
Tautan Pendaftaran Lowongan Kerja Adaro Indonesia;PENIPUAN
Pelatih Timnas U-23 RI Gerald Vanenburg Minta AFF Dibubarkan;SALAH
Video â€œPenampakan Rudal TNI AU Garuda N45â€;SALAH
Video â€œHelikopter Terjatuh di Parapat, Danau Tobaâ€;SALAH
Pembakar Ruko Pramuka Bayaran Jokowi Ditangkap;SALAH
Foto â€œTNI Tangkap Intelijen Israelâ€;SALAH
YouTuber Aisar Khaled Bagi-Bagi Motor;PENIPUAN
Video â€œPembuatan Jet Tempur Siluman Indonesiaâ€;SALAH
Australia Protes karena Rusia Bakal Bangun Pangkalan Militer di Papua;SALAH
Pendaftaran Undian Wondr BNI Berhadiah melalui Facebook;PENIPUAN
Tautan Pendaftaran Program Pembagian Bibit Sawit;PENIPUAN
Tautan Pendaftaran Lowongan Kerja Le Minerale;PENIPUAN
Indro Warkop Mengembuskan Napas Terakhir di Rumah Sakit;SALAH
Australia Berikan Dana Bantuan untuk Umat Kristen Indonesia;PENIPUAN
Tautan Pendaftaran Lowongan Kerja BAZNAS;PENIPUAN
Prabowo Resmikan Pembuatan dan Perpanjangan SIM Gratis;PENIPUAN
Pemerintah Cairkan Bantuan Subsidi Upah (BSU) untuk TKI;PENIPUAN
Video â€œMasjid di Barcelona Sengaja Dibakar sebelum Diresmikanâ€;SALAH
Video â€œTentara Israel Dukung Kemerdekaan Papuaâ€;SALAH
Abuya Darul Aman Orang Terkaya Nomor 5 Dunia, Ambil Alih 2 Pelabuhan Aceh;SALAH
Indonesia Disebut sebagai â€œTiongkok Baru ASEANâ€;SALAH
China Tunjukan Hasil Uji Coba Membuat Manusia;SALAH
TNI Eksekusi Tentara Israel-AS di Gaza Selatan;SALAH
Pembelian Uang Kuno oleh Nagita Slavina;PENIPUAN
Video â€œWarga Malaysia Dukung Kemerdekaan Acehâ€;SALAH
Video â€œRudal R-Han Milik Indonesiaâ€;SALAH
Menuang Tepung di Dekat Kompor Bisa Picu Ledakan Setara Bom;SALAH
Kemenaker Salurkan BSU Sebesar Rp1,7 Juta;PENIPUAN
Tautan Pospay untuk Cek Pencairan BSU;PENIPUAN
Video â€œFasilitas Rahasia Fordow Iranâ€;SALAH
Video â€œPengakuan Kekalahan Israelâ€;SALAH
Video â€œWarga Israel Mengungsi di Gurun Pasirâ€;SALAH
Artikel CNBC Indonesia: â€œRaja Salman Sebut: Negara Termunafik Nomor Satu Indonesiaâ€;SALAH
Tautan Pendaftaran CPNS Kemenhub;PENIPUAN
Video â€œMonster Drone Buatan Iranâ€;SALAH
Tautan Pendaftaran Penghapusan Tunggakan BPJS kesehatan;PENIPUAN
Jepang Membentuk Pusat Komando Imbas Ulah WNI;SALAH
Buya Yahya Bagi-Bagi Uang;PENIPUAN
Wanita Asal Padang Jadi Presiden Singapura;SALAH
Prabowo Menyatakan SIM Berlaku Seumur Hidup;SALAH
Obama Tolak Amerika Ikut Campur Perang Iran;SALAH
Narasi â€œPutin Bakal Bantu Indonesia Jika Diserang Amerika-Israelâ€;SALAH
Jokowi Meninggal Dunia;SALAH
Putin Kirim Ribuan Pasukan sebagai Fasilitas Pertahanan di Papua;SALAH
Ada Insiden Kebocoran Nuklir di Cinere;SALAH
Junta Myanmar Ingin Memerangi Indonesia;SALAH
SALAH] Ono Surono Didemo karena Mau Memecah Jawa Barat Menjadi Lima Provinsi;
Pendaftaran Loker Mayora Group LewatÂ  Google Docs;PENIPUAN
Program â€œBantuan Puluhan Juta Rupiahâ€ dari Dedi Mulyadi;PENIPUAN
Video â€œPrabowo Resmikan Pinjol Tanpa Bungaâ€;PENIPUAN
Tautan â€Pendaftaran Bantuan Subsidi Upahâ€;PENIPUAN
Jepang Blacklist Pekerja Indonesia;SALAH
Iran Pamerkan Rudal Terbesar di Dunia;SALAH
Maia Estianty Berbagi Uang;PENIPUAN
Artis Randy Pangalila Meninggal Dunia pada 11 Juli 2025;SALAH
Klaim Video Peluncuran Rudal Hipersonik;SALAH
Mantan PM Malaysia Dr Mahathir Mohamad Meninggal pada 14 Juli 2025;SALAH
Video Hukuman Bagi Koruptor di Korea Utara;SALAH
Potret â€œPenemuan Baju dan Peralatan Tentaraâ€;SALAH
FIFA Beri Sanksi ke Malaysia karena Melanggar Aturan Naturalisasi;SALAH
Rusia Bantu Iran, Nyatakan Perang terhadap Israel dan AS;SALAH
Video â€œKendaraan Tempur Indonesia untuk Persiapan Perang Dunia IIIâ€;SALAH
Tautan Pendaftaran Lowongan Kerja Superindo;PENIPUAN
Video â€œPetinggi Israel Adu Mulut Usai Iran Serang Balik Israelâ€;SALAH
Tautan Pendaftaran Lowongan Kerja Bappenas;PENIPUAN
Konten Kreator â€œFB Proâ€ Mengalami Kecelakaan karena Keasikan Siaran Langsung;SALAH
Video â€œObama Umumkan Diri sebagai Capres AS 2028â€;SALAH
Video â€œIran Luncurkan Rudal Fattah ke Israelâ€;SALAH
Fenomena Aphelion Penyebab Cuaca Dingin di Indonesia;SALAH
Jokowi Kritis Masuk Rumah Sakit;SALAH
Tautan Pendaftaran Lowongan Kerja Pelita Air;PENIPUAN
Pendaftaran Bantuan â€œIndonesia Peduli Bersamaâ€ untuk Pekerja Migran;PENIPUAN
Video â€œUcapan Terima Kasih Tentara Israel untuk Papuaâ€;SALAH
Potret â€œPrabowo dan Perwakilan Belanda Bahas Kemerdekaan Papua-Acehâ€;SALAH
Prabowo Utus Gibran ke Pedalaman Papua untuk Tugas Perdamaian;SALAH
Detik-Detik Langit Israel Memerah;SALAH
Pesawat Tempur Israel Jatuh di Tanjung Balai;SALAH
Video Buaya Masuk Rumah saat Banjir di Jakarta Selatan;SALAH
Video â€œPesan Militer Iran untuk Rakyat Indonesiaâ€;SALAH
Lombok Jadi Target Utama Israel;SALAH
Indonesia Menyatakan Perang Lawan Myanmar;SALAH
Tautan Cek Status Penerima â€œBantuan Subsidi Upahâ€ Tanpa NIK;PENIPUAN
Video â€œRusia Serang AS karena AS Meledakkan Fasilitas Nuklir Iranâ€;SALAH
Bambu Petuk di Cianjur Mengeluarkan Air Tanpa Selang atau Pipa;SALAH
Tautan Pendaftaran Bantuan Program Indonesia Pintar (PIP);PENIPUAN
Prabowo Resmi Izinkan Rusia Bangun Pangkalan Militer di Indonesia;SALAH
Tubuh Mantan Presiden Israel, Ariel Sharoon Membusuk;SALAH
Ratusan Kapal Perang Cina Tiba di Timur Tengah;SALAH
PM Israel Sebut Perang Israel dan Iran Hanya Sandiwara;SALAH
Kiriman Rudal dari Iran ke Tel Aviv, Israel;SALAH
Warga Papua Rayakan Kedatangan Imigran Israel;SALAH
Dokumentasi â€œKemarahan Obama karena Trump Ikut Campur Perang Iran vs Israelâ€;SALAH
Bantuan Modal Usaha dari Qatar Charity Indonesia;PENIPUAN
Video Dedi Mulyadi Mempromosikan Pinjol;PENIPUAN
Toyota Rilis Mobil Tenaga Air;SALAH
TNI Berhasil Rebut Pos Militer Israel di Gaza;SALAH
Indonesia Jadi Tuan Rumah Ronde 4 Kualifikasi Piala Dunia 2026 Zona Asia;SALAH
Tautan Lowongan Kerja PP Presisi;PENIPUAN
Jerman Lancarkan Serangan ke Israel;SALAH
India Ancam Indonesia Agar Tidak Ikut Campur Urusan India-Pakistan;SALAH
Prabowo Perbolehkan Aceh Kibarkan Bendera Bulan Bintang;SALAH
Indro Warkop Tegur Rocky Gerung karena Mengkritik KDM;SALAH
FIFA Putuskan Jepang Jadi Tuan Rumah Piala Dunia 2026 Gantikan Qatar dan Arab;SALAH
Video Serangan AS terhadap Situs Nuklir Iran di Fordow;SALAH
Pesawat Bantuan China Untuk Gaza Lewat Wilayah Israel;SALAH
Kaisar Jepang Sepakat Kirim Pesawat Militer Bantu Iran;SALAH
Megawati Menjerit karena Skandal Korupsi Indosat dan Jual Pulau Diusut KPK;SALAH
Kapal Tanker Terbakar karena Iran Melarang Selat Hormuz untuk Dilewati;SALAH
Juni 2025, Pangeran Arab Al Waleed Bangun dari Koma;SALAH
Kebakaran di Tel Aviv karena Bombardir Iran ke Israel;SALAH
Mulai 2026 Tanah Tanpa Sertifikat Akan Diambil Alih Negara;SALAH
Amerika Kirim Pesawat Pembom ke Israel;SALAH
FIFA Blacklist Iran dan Tunjuk Indonesia ke Piala Dunia, PSSI menolak;SALAH
Wali Kota Boston Keturunan Indonesia;SALAH
Kabut di Jabodetabek Adalah Rekayasa agar Kasus TBC Meningkat;SALAH
Pengeboman Israel di Sekitar Persembunyian Pemimpin Tertinggi Iran Ayatollah Ali Khamenei;SALAH
Kemenkes Luncurkan Tag â€œTelinga Inovativâ€;SALAH
Tom Lembong Dibebaskan Tanpa Syarat;SALAH
Video â€œWarga Israel Mengungsiâ€;SALAH
Video Ibu Kota Israel Tel Aviv Luluh Lantak;SALAH
Video â€œSerangan Iran ke Gedung Parlemen Israelâ€;SALAH
Video â€œUji Coba Nuklir Iran Sebabkan Ledakan di Gurun dan Lautâ€;SALAH
Kades di Garut Beli Jet Pribadi Pakai Dana Desa;SALAH
Shin Tae-yong Kembali ke PSSI;SALAH
Tangkapan Layar Post Gelora.co dengan Foto Jokowi Terkena Penyakit Kusta;SALAH
Rudal Indonesia Siap Dikirim ke Iran;SALAH
Syarat Beli Rumah Subsidi: Punya Gaji Rp14 Juta;SALAH
Tangkapan Layar Artikel MUI Mendukung Serangan Israel ke Iran;SALAH
Prabowo Tegaskan Indonesia Siap Terlibat Perang;SALAH
Pilot Israel Melarikan Diri dari Pangkalan Udara Karena Ketakutan;SALAH
Potret â€œTenda Pengungsian Masyarakat Israel di Lereng Gunungâ€;SALAH
;
Rekrutmen Relawan BAZNAS Ramadan 2025;PENIPUAN
Buntut Sengketa Pilkada Jateng, MK Diskualifikasi Luthfi-Taj Yasin;SALAH
Donald Trump Mau Pindahkan Dua Juta Warga Gaza ke Indonesia;SALAH
Setengah Wilayah AS Kebakaran, Sisanya Dilanda Badai Salju;SALAH
Susi Pudjiastuti Dipanggil Presiden Prabowo ke Istana;SALAH
Tautan Lowongan Kerja di SCTV dan Indosiar;PENIPUAN
Ribuan Warga Selandia Baru Masuk Islam;SALAH
Kemendikdasmen Buka Loker Guru Privat Online;PENIPUAN
Polisi Los Angeles Masuk Islam Setelah Saksikan Musibah Kebakaran;SALAH
Kontak WhatsApp Rekrutmen Pendamping P3TGAI;PENIPUAN
Telegram Berikan Bonus Kuota Internet Gratis;PENIPUAN
Uang Ratusan Miliar Megawati Jadi Bukti Keterlibatannya di Kasus Harun Masiku;SALAH
Megawati Ditetapkan Tersangka di Kasus Harun Masiku;SALAH
Pemain Brazil, Antony Santos, Akan Gabung Timnas Indonesia;SALAH
Potret â€œJokowi dan Presiden Kenya Rayakan Keberhasilan Usai Jadi Finalis Tokoh Terkorupâ€;SALAH
Tautan â€œPendaftaran Bantuan WiFi Gratis dari Bakti Kominfoâ€;PENIPUAN
Wali Kota Minneapolis Sahkan â€œUU Azan 5 Waktuâ€ Usai Kebakaran LA;SALAH
Pemerintah Gratiskan Tunggakan Iuran BPJS Januariâ€”Februari 2025;SALAH
Tautan Lowongan Kerja PT Krakatau Posco;PENIPUAN
Tautan Lowongan Kerja Petrosea;PENIPUAN
SatuSehat Adalah Program WHO untuk Tatanan Dunia Baru;SALAH
Erick Thohir Bakal Naturalisasi Viktor Gyokeres;SALAH
Prabowo Kerahkan Kopassus ke Markas OCCRP;SALAH
Anak Yatim Piatu Meninggal Dunia Akibat Kelaparan di Makassar;SALAH
Akun TikTok Khusus Bantuan Resmi Pemerintah;PENIPUAN
Warga China Tendang Wajah Anak di Pulau Rempang;SALAH
Tautan Pendaftaran Relawan Program Makan Bergizi Gratis;PENIPUAN
Bobby Nasution Didiskualifikasi di Pilkada Sumatera Utara;SALAH
Tautan Pendaftaran Calon ASN SPP Badan Gizi Nasional;PENIPUAN
Akar Pepaya dan Garam Mampu Obati Gigitan Hewan Berbisa;BELUM TERBUKTI
Larangan Baca Al-Qurâ€™an di Masjid Kompleks Dinas Gubernur Sumatra Utara;SALAH
Taylor Swift Bilang Kebakaran LA Itu Hukuman Tuhan Bagi Pro-Israel;SALAH
Ribuan Warga LA Jadi Mualaf Usai Lihat Lafadz Allah di Langit;SALAH
Penjelasan Dokter Tirta soal Metode â€œBiji Labuâ€ untuk Usir Parasit;PENIPUAN
Foto Guru Agama yang Melakukan Tindakan Tak Senonoh ke Siswa di Grobogan;SALAH
Gagal Penjarakan Hasto, Dewas dan Pimpinan KPK Dipecat Presiden;SALAH
BP2MI Gaet Cicil, Tawarkan Pinjaman ke Pekerja Migran;PENIPUAN
Potret â€œBandar Udara Sanaa di Yaman Usai Serangan Israelâ€;SALAH
Video â€œElon Musk Pamerkan Robot Pemotong Rambutâ€;SALAH
Rakyat Desak Prabowo Pecat Raffi Ahmad;SALAH
Ada Agenda Terselubung Bank Indonesia di Balik Rupiah Digital;SALAH
Prabowo Desak PSSI Tarik Shin Tae-yong Balik ke Timnas;SALAH
Selvi Ananda Bagi-Bagi Uang Puluhan Juta Rupiah;PENIPUAN
Foto â€œKantor Facebook di Los Angeles Terbakarâ€;SALAH
7-Eleven Dijarah Korban Terdampak Kebakaran California;SALAH
Usai Kebakaran, Ada Tornado Api Kembar di California;SALAH
Shin Tae-yong Jadi Pelatih Timnas Brunei Darussalam;SALAH
PSSI Terancam Dibekukan Usai Pecat Shin Tae-yong;SALAH
HMPV Sebabkan Kerusakan Otak;SALAH
Rumah David Steiner di LA Tidak Terbakar;SALAH
PSIS Semarang Siap Tampung Shin Tae-yong Jadi Pelatih Usai Dipecat;SALAH
Kebakaran LA Berkaitan dengan Agenda â€œSmart Cityâ€ PBB;SALAH
Hasto Divonis Hukuman 50 Tahun;SALAH
Google Maps Hanya Andalkan Motor, Mobil, dan Drone;SALAH
Prabowo Jemput Paksa Shin Tae-yong di Korea;SALAH
Video â€œDokumentasi Kebakaran di Los Angelesâ€;SALAH
Prabowo Pecat Erick Thohir dari PSSI;SALAH
MK di Era Prabowo Batalkan Perpanjangan Masa Jabatan Kepala Desa;SALAH
Info Rekrutmen Staf Rumah Sakit JIH, Gaji Tembus Rp10 Juta;PENIPUAN
Tautan Pendaftaran Lowongan Kerja di Taspen;PENIPUAN
Video â€œMegawati Marah karena PDIP Tumbang di Pilkadaâ€;SALAH
Senjata Canggih yang Terarah Jadi Penyebab Kebakaran di California;SALAH
Potret â€œGereja Selamat dari Kebakaran Los Angelesâ€;SALAH
Gambar Sampul Artikel Kompas.com â€œJokowi Bertemu Sekjen Gerindra Bahas Lamaran Menjadi Anggota Partaiâ€;SALAH
Menu Makan Siang Gratis Bikin Siswa Muntah;SALAH
Tautan Lowongan Kerja Barista Kopi Janji Jiwa;PENIPUAN
Tautan Rekrutmen â€œPegawai Laut PT PELNIâ€ untuk Lulusan SMK;PENIPUAN
Pernyataan Prof. Dr. Ir Budi Indarto Terkait Konsumsi Pangan;SALAH
Pesawat Jatuh saat Bantu Padamkan Kebakaran Los Angeles;SALAH
Tornado Landa Wilayah Texas;SALAH
Raffi Ahmad Mau Beri Bantuan Bayar Utang hingga Modal Usaha;PENIPUAN
Tautan Daftar Bansos PKH dan BNPT, Bakal Cair Bersamaan;PENIPUAN
Megawati Mundur dari Kursi Ketua Umum PDIP;SALAH
Dokumentasi â€œPesawat Jazirah Aviation Club Jatuh di Lautâ€;SALAH
Modifikasi Cuaca Sebabkan Sakit yang Dirasakan Masyarakat Saat Ini;SALAH
Prabowo Murka Jokowi Gadaikan Laut pada Oligarki;SALAH
Video Elon Musk Membicarakan Perbandingan Penanganan Kebakaran di California (Amerika) dengan Chongqing (Tiongkok);SALAH
Polisi Temukan Mobil Mewah yang Disembunyikan Tom Lembong;SALAH
Gambar Sampul Artikel Kumparan â€œPrabowo Minta Semua TV putar Ganyang Fufufafa jam 6 Pagiâ€;SALAH
HMPV Adalah Virus Sintetis dari Laboratorium;SALAH
Prabowo Pecat Kapolri Listyo Sigit;SALAH
KAI Commuter Kasih Fasilitas Gratis Lewat Program Kartu Lansia;PENIPUAN
Momen Pertemuan Megawati dan Prabowo Jelang Tahun Baru 2025;SALAH
Senjata Biologis Diluncurkan Jelang Ramadan;SALAH
John Cena Pendukung Palestina, Rumahnya Selamat dari Kebakaran Los Angeles;SALAH
700 Kepala Desa Digelandang ke KPK;SALAH
Megawati dan Puan Maharani Menuntut Pembebasan Hasto;SALAH
Tautan Lowongan Kerja di Ultra Milk, Usia Maksimal 50 Tahun;PENIPUAN
Foto â€œGuru Honorer Meninggal di Perbatasan RIâ€”Papua Nuginiâ€;SALAH
Tautan Pengecekan Bansos;PENIPUAN
Video Insiden Sebelum Pesawat Jeju Air Meledak;SALAH
Video â€œKerusuhan di China Akibat Virus HMPVâ€;SALAH
Tautan Lowongan Kerja HM Sampoerna;PENIPUAN
Prabowo Berhasil Tangkap Harun Masiku;SALAH
Prabowo Seragamkan Gaji DPR dan MPR dengan PNS;SALAH
Resep Ustaz Abdul Somad: Obat Prostatitis Pakai Telur dan Cola;PENIPUAN
Prabowo Bagi Bantuan Berdasarkan Jumlah Anak di Keluarga;SALAH
Ustaz Adi Hidayat Bagi-Bagi Uang Puluhan Juta Rupiah;PENIPUAN
Video â€œVan Gaal Bilang Tertarik Latih Timnas Indonesiaâ€;SALAH
Prabowo dan Ketua KPK Ahok Menyita Uang Korupsi Rp300 Triliun;SALAH
Prabowo, Gerindra, dan PDIP Bersatu Sahkan UU Miskinkan Koruptor;SALAH
Prabowo Tambah Hukuman Harvey Moeis Jadi 40 Tahun Penjara;SALAH
Foto â€œJokowi Ditangkap Polisiâ€;SALAH
Tautan Loker di Sapta Warna Cemerlang, Gaji Tembus Rp20 Juta;PENIPUAN
â€œKedutaan Besar Tiongkok tidak memberi tahu Kembang Api Menyambut kunjungan Menteri Pertahanan Saudiâ€;SALAH
Video â€œUang Hasil Korupsi Bobby Nasution dan Kaesangâ€;SALAH
Video â€œOrang Palestina Serang Gereja saat Malam Natalâ€;SALAH
Big Data Cyber Security Jadi Alat Memata-Matai Percakapan Rakyat;SALAH
Rhoma Irama Bagikan Uang hingga Rp20 Juta di Instagram;PENIPUAN
Video â€œPersebaran Virus Zombie di Chinaâ€;SALAH
Tautan Pendaftaran Lowongan Kerja di Brunei Darussalam;PENIPUAN
Sisa kWh Listrik Bakal Hangus Usai â€œProgram Diskon 50%â€ Berakhir;SALAH
Tautan â€œPenghapusan Kredit Macet UMKMâ€;PENIPUAN
RSU Mamami Kupang Kewalahan Tangani Pasien HMPV;SALAH
Video â€œMegawati Ungkap Jokowi Itu PKI, Orang Tuanya Chinaâ€;SALAH
Kecelakaan Pesawat Adalah Bagian dari Agenda â€œNew World Orderâ€;SALAH
Tautan Rekrutmen Matahari Department Store;PENIPUAN
Loker Halmahera Jaya Feronikel, Gaji Tembus Rp25 Juta;PENIPUAN
Tautan Rekrutmen Kejaksaan Negeri 2024/2025;PENIPUAN
Ada Bantuan Uang dan Lima Bansos Lainnya untuk Pemegang KIS;SALAH
Presiden Prabowo Lantik Ahok Jadi Ketua KPK;SALAH
Sherly Tjoanda Bagi-Bagi Bantuan, Syukuran Menang Pilkada Maluku Utara;PENIPUAN
Dokumentasi â€œPesawat Qantas 747 Jatuh Menabrak Rumahâ€;SALAH
Mahasiswa Demo Besar-besaran, Tuntut Harvey Moeis Dihukum Mati;SALAH
Video â€œHasto Menangis saat Jadi Tersangka Korupsiâ€;SALAH
DWP Rilis Daftar Nama Polisi Pelaku Pemerasan Puluhan Miliar;SALAH
Tumbuhan Patikan Kebo Hilangkan Kutil hingga Tahi Lalat Tanpa Operasi;SALAH
Potret â€œIkan Megalodon yang Masih Hidupâ€;SALAH
Marshanda Bagi-Bagi Uang Jutaan Rupiah;PENIPUAN
Reino Barack Bagi-Bagi Uang di TikTok;PENIPUAN
Ribuan Pendukung Timnas Serbu Kantor PSSI, Tak Terima STY Dipecat;SALAH
Syahrini Bagi-Bagi Uang Tunai;PENIPUAN
Duda dan Janda Kena Pajak 16 Persen;SALAH
Video â€œLedakan Rudal di Tel Aviv Kiriman dari Houthi Yamanâ€;SALAH
Video â€œIkan Hiu Dekati Pantai Ancolâ€;SALAH
Loker Freelancer â€œLike Kontenâ€ di PT Arkadia Digital Media;PENIPUAN
Lowongan Kerja Pendamping Sosial PKH 2024/2025;PENIPUAN
Tautan â€œVoucer Listrik Gratis untuk Pengguna di Bawah 5.500 VAâ€;PENIPUAN
Video Buruh di Banten Bergerak untuk Tangkap dan Adili Jokowi;SALAH
Prabowo Pecat Hakim yang Vonis Harvey Moeis 6,5 Tahun Penjara;SALAH
Jokowi Jadi Ketua Umum PKS;SALAH
Kejagung Menyita Aset Kaesang, Nilainya Ratusan Miliar;SALAH
Lowongan Kerja di Panasonic;PENIPUAN
Tautan untuk Mengalihkan Peserta Umum BPJS Kesehatan ke PBI;SALAH
Isu HAM Melekat di Prabowo, Bikin Erdogan dan Delegasi Walkout;SALAH
Uang Palsu dari ATM BRI di Kabupaten Gowa, Sulawesi Selatan;SALAH
Tautan Rekrutmen BPOM;PENIPUAN
Sidang Jokowi Dituntut Ratusan Triliun;SALAH
Hakim Kasus Harvey Moeis Terima Uang Suap Rp50 Miliar;SALAH
Mahfud MD Resmi Dilantik sebagai Jaksa Agung;SALAH
Bela Jokowi, Kader PDIP Caci Maki Hasto Kristiyanto;SALAH
Akun Facebook â€œmr.terimakasih berbagi Indonesiaâ€;PENIPUAN
Program Bank BRI â€œFestival Undian Berhadiah Spesial Tahun Baruâ€;PENIPUAN
Ada Komisi â€œMenonton Videoâ€ dari Platform YouKu;PENIPUAN
Grup Investasi di Telegram, Tawarkan Profit Ratusan Juta;PENIPUAN
Leher Penyebar Khilafah di Arab Dipancung di Tengah Jalan;SALAH
Video â€œDennis Lim dan Arie Untung Promosikan Judi Onlineâ€;PENIPUAN
